Planet,Aphelion,Perihelion,Diameter,Orbital Period,Day Length,Inclination,satellites
Soleil,0.0,0.0,100000,1000.0,1000.0,0.0,false
Mercure,69.8,46.0,4879,88.0,4222.6,7.0,false
Venus,108.9,107.5,12104,224.7,2802.0,3.1,false
Terre,152.1,147.1,12756,365.2,24.0,0.0,true
Mars,249.2,206.6,6972,687.0,24.7,1.9,true
Jupiter,816.6,740.5,142984,4331.0,9.9,1.3,true
Saturne,1514.5,1352.6,120536,10747.0,10.7,2.5,false
Uranus,3003.6,2741.3,51118,30589.0,17.2,0.8,false
Neptune,4545.7,4444.5,49528,59800.0,16.1,1.8,false
Pluton,7375.9,4436.8,2370,90560.0,153.3,17.2,false